edge\op,none,skip_connect,nor_conv_1x1,nor_conv_3x3,avg_pool_3x3,
acc,77.36±22.55,83.81±10.64,86.38±9.1, 87.32±9.17,81.02±11.85,
discrete acc darts,83.42,84.1,72,76.35,39.66,
dartspt,85.43,17.02,78.13,59.09,85.34,
zc pt,3455.233646,3449.898772,3449.538363,3441.815563,3461.179476,3
discrete zc,3331.007285,3445.489455,3366.877065,3437.551079,3423.180255,
alpha,0.0758,0.7742,0.05,0.0761,0.024,
best-acc,94.15,94.18,94.44,94.68,93.86,
alpha-60,0.1387,0.4758,0.1296,0.181,0.0748,
tenaspt,38.5,48.0,31.0,6.0,37.5,
,,,,,,
acc,80.03 ±19.38,83.11 ±12.81,85.23 ±11.0,85.99±11.1,81.52±13.06,
discrete acc darts,85.12,83.39,76.72,81.34,84.38,
dartspt,85.52,36.1,84.39,80.95,85.49,
zc pt,3452.145851,3448.696318,3441.809174,3440.652631,3453.739943,3
discrete zc,3429.074707,3435.750274,3407.872847,3434.584512,3421.442414,
alpha,0.0629,0.813,0.039,0.0579,0.0269,
best-acc,94.24,94.16,94.49,94.68,94.09,
alpha-60,0.1236,0.5535,0.11,0.1249,0.088,
tenaspt,7.0,55.0,10.0,15.0,39.0,
,,,,,,
acc,82.9±14.68,82.44 ±14.25,84.05 ±13.19,84.49 ±13.21,81.98 ±14.54,
discrete acc darts,85.96,85.18,54.02,78.41,84.88,
dartspt,85.51,80.29,81.86,77.68,85.32,
zc pt,3446.521007,3447.612434,3435.455206,3436.396744,3449.275466,2
discrete zc,3428.795464,3423.361285,3440.925616,3437.286935,3416.891544,
alpha,0.3339,0.4742,0.061,0.0774,0.0534,
best-acc,94.25,94.43,94.49,94.68,94.19,
alpha-60,0.2403,0.3297,0.1495,0.1748,0.1056,
tenaspt,31.5,10.0,30.0,16.5,36.5,
,,,,,,
acc,74.02 ±26.1,85.17 ±7.59,87.3 ±2.48,88.28 ±2.06,81.38 ±8.91,
discrete acc darts,66.18,85.38,78.8,81.59,82.89,
dartspt,85.49,9.86,81.79,59.18,85.48,
zc pt,3453.805194,3435.985406,3444.044047,3445.595326,3447.067855,1
discrete zc,3408.990502,3464.050741,3359.888463,3382.1755,3431.805571,
alpha,0.0267,0.8163,0.0471,0.0904,0.0194,
best-acc,94.16,94.68,94.03,94.04,93.85,
alpha-60,0.0636,0.6513,0.0826,0.1335,0.0691,
tenaspt,34.0,44.0,53.5,23.0,30.0,
,,,,,,
acc,80.14 ±19.52,83.05 ±12.74,85.09 ±11.17,85.7 ±11.18,81.89 ±12.98,
discrete acc darts,86.44,84.75,80.23,80.46,80.13,
dartspt,85.45,51.15,78.84,64.64,85.14,
zc pt,3451.055723,3449.796894,3442.625354,3441.131751,3453.311493,3
discrete zc,3433.98773,3435.573458,3424.470031,3431.143217,3423.153213,
alpha,0.0857,0.7082,0.0716,0.0946,0.0399,
best-acc,94.29,94.18,94.56,94.68,94.23,
alpha-60,0.1183,0.48,0.1305,0.1732,0.0979,
tenaspt,32.0,32.5,36.5,32.0,52.0,
,,,,,,
acc,77.61 ±22.16,83.43 ±11.34,86.18 ±9.08,86.95 ±9.02,81.74 ±11.79,
discrete acc darts,86.28,82.69,77.13,76.8,81.99,
dartspt,85.54,32.43,81.04,72.75,85.51,
zc pt,3450.967554,3448.211459,3440.79926,3443.240243,3452.989921,2
discrete zc,3434.421701,3437.661196,3418.572637,3397.51709,3424.166157,
alpha,0.1554,0.7029,0.0538,0.0598,0.028,
best-acc,94.05,94.16,94.68,94.56,94.1,
alpha-60,0.1648,0.4853,0.1223,0.1397,0.088,
tenaspt,38.5,16.0,20.0,17.0,27.5,
